"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","-3259259.25925925","2659259.25925926","5840740.74074075","-21322222.2222222","-27818518.5185185","-54233333.3333333","-23181481.4814815","-17803703.7037037","-35518518.5185185","-87570370.3703704","-76159259.2592593","-18274074.0740741","-47974074.0740741","4740740.7407407","11992592.5925926","20811111.1111111","40785185.1851851","14533333.3333333","-37318518.5185185","-64844444.4444445","-35000000","-24022222.2222221","-56492592.5925926","-31599629.6296296","-41238888.8888889","-46574333.3333333","-72113259.2592592","-58365296.2962962","-137451148.148148","-270243370.37037","-351082814.814815","-326839222.222222","-144853592.592593","-155096000","-103611962.962963","-158649592.592593","-175232481.481481","-151851851.851852","-68220703.7037036","-77812777.7777778","","","",
"Australia","AUS","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","-198230484.936723","-515175271.586964","260947474.521223","-178071452.570277","278866614.402509","-530854518.983089","-599171239.780491","-306865270.467018","-714525702.766267","-505095755.403741","-100795161.832232","-124314032.92642","442757009.345794","1997437540.03844","-57479734.7089153","-441076061.72334","146224631.287029","-695113558.155538","-1142567110.30905","-1412018630.0125","788857938.718663","-3235806339.25462","-6378682555.44522","-3597566682.26486","-2760369498.2793","-3693334356.06351","-5591074426.41298","-3024086818.42245","-1557043073.34109","-5487338164.64458","-5989226625.62523","-431677262.381295","885180342.99777","-999859471.613266","-1661016949.15254","-7226017226.01723","-1817147192.71623","1194240100.17217","-3507427253.61189","-9508710364.70736","-8967531244.11229","326285284.962971","-31917120.1339473","-9824111822.947","-16623986342.2962","-19006164486.5434","-13551212938.0054","-14026850906.8069","-26845120859.4449","1964364600.20616","-11801286003.6995","13493049393.6705","-3845122705.71252","-20428849902.5341","-6274671807.58285","-20609035693.4853","-27507643033.9205","8198959197.52621","5980156577.00953","",
"Austria","AUT","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","-11818417.5707859","-55318757.5724199","-95890112.5066968","-182431021.153981","-471181905.182568","-164187643.201391","-1035863312.11168","-2252385813.00475","-892188477.210272","-1150219351.51827","-2821893214.20974","-1701431052.35874","-451971606.033718","-1093201240.99893","-729462898.012516","-166888135.142325","-18983055.430374","-51297670.8750544","-560956090.493703","-676115340.613625","-155710153.697204","-1507542368.88627","-2574313673.92938","-642064119.247604","-3399090591.495","-2869127883.17183","-3760709643.87835","-1726846318.63795","-491318363.717208","985883230.343064","2621475953.56551","3351677852.34899","7874929418.40768","7205654627.5395","8852855723.86392","10129187911.9513","12079237234.9768","17057664932.9318","19036384942.1415","13416185051.4032","13733976993.9149","12047885876.3001","11444151646.411","12111476856.2296","14451606481.4324","14321235133.6196","15151070546.4004","13779372927.2986","16943225823.0934","",
"Azerbaijan","AZE","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","410876132.63456","391576171.950082","1577627522.6792","-737231525.939388","-195757690.643552","-638589137.68018","-984538479.42339","-951442910.915935","-1415224145.04639","-636139314.752639","94543018.3305617","238698593.364115","-454021806.212713","-1712685807.37121","-2077134425.56223","1329913264.22678","5821916274.90486","13093229227.3628","20669182083.739","12635232644.9366","17787716456.9578","21332657971.3815","19292897148.6762","16431739961.7591","12839602193.0384","1585887175.48312","1051952121.32606","2735300952.82361","7779294117.64706","",
"Burundi","BDI","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","-1750002","-3500000","-7000000","-15750000","5249998","-3476148.14814815","-3666285.71428571","-1934857.14285714","-5626285.71428571","-4633142.85714286","-2262857.14285714","-14502857.1428571","-8244571.42857143","-7050208.68217829","-19958095.2380952","-45155555.5555556","-13122318.8405797","1665555.55555556","-51983333.3333333","-66977777.7777778","-133201111.111111","-124952222.222222","-169162222.222222","-170043033.889188","-118934090.719238","-112241235.39647","-127291596.741701","-180963682.421496","-144635190.71192","-147013717.408157","-225312545.619106","-216993753.615443","-224489561.360134","-166880195.222405","-168448010.195399","-143580889.901425","-86321830.2229562","-44796367.2484745","-102252114.833245","-67783377.1027042","-86315511.9541538","-92989703.1372313","-101541854.669335","-114665348.875875","-161731658.355361","-253584661.363054","-353998255.634677","-341762219.609256","-422300991.118426","-402608904.458798","-408459227.60974","-567898551.178587","-566993570.076955","-696261916.024453","-718408582.681936","-654282786.615394","-545729559.422678","-618813745.080405","-619776036.525173","",
"Belgium","BEL","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","583597256.958451","581774854.041608","1138652277.5181","916582074.10474","288927816.901408","202501590.43545","208368234.064786","-549246820.483962","-799155117.202511","-2010040313.70391","-3577711960.27038","-2193369513.25511","-1582876390.60569","344979329.38856","495069952.527227","890002989.333515","2687310547.22774","2713638357.64452","3884174437.73999","3607222665.84767","3612875181.07195","3934812876.5505","5983582685.06901","7197266791.04478","8858973354.23198","11089490968.8013","8856286644.95114","9815741993.68516","9409313180.70682","10213083315.5764","6766445550.02764","8626845637.58389","14342838321.0992","17003611738.149","18036751924.5096","15563984579.0325","16490026345.5024","19448672324.1172","3466383477.36927","10887885523.7566","8187989316.00993","-517407773.325621","312349991.775206","4161935584.8677","4377955998.41274","6553364688.1789","5681305782.4917","7010387738.47129","-885637476.692462","",
"Benin","BEN","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","-13540909.2596059","-11668269.7267105","-15229910.2214201","-19817881.1704033","-19172870.1956354","-22143655.7198639","-28322053.9534611","-37072595.6693654","-31790214.0329377","-31934687.4103229","-30976482.5358326","-33664163.7295651","-50945771.4155116","-51891171.4878962","-84184905.8202851","-127825139.783933","-125973746.445393","-139523354.595435","-167380129.214437","-231379262.378621","-302207690.188736","-361879896.147484","-282908113.143296","-195119141.566028","-119330534.581573","-135900627.026931","-212968997.640525","-245034312.626149","-296170465.022115","-169902127.624892","-144205934.810523","-185528224.938844","-173980880.598501","-237760290.730485","-123794025.518876","-196617154.136926","-83115278.5130124","-98883439.4950292","-132765175.731305","-307785287.651062","-215504530.55811","-312089584.789885","-180143869.72405","-230977477.64411","-177705650.815621","-139746878.152442","-257138775.624171","-410203547.794256","-340596868.32648","-470109425.45347","-504111131.231706","-590028184.911319","-327919500.552632","-508107018.511454","-319704495.913276","-833090752.432673","-446050459.192421","-897423807.97466","-1033558591.47641","",
"Burkina Faso","BFA","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","-36274159.2307514","-36289432.7287643","-38617092.5882542","-39756808.8327185","-35778431.8550887","-28437030.5503652","-28622659.9489414","-40562454.0398023","-41820425.4566283","-51250579.6072865","-48987516.0589733","-69561880.8932714","-86148673.0024807","-112064689.569835","-121324251.800755","-214340678.512586","-183620150.039506","-254333379.735232","-299284005.108666","-367815867.312017","-430335835.705783","-393503705.865424","-411038234.823323","-347100437.457028","-259813131.327001","-327647798.20457","-406865697.638995","-396291293.070892","-422027051.69949","-389645134.827255","-418342896.820631","-404456618.395367","-239283920.322743","-273359090.34749","-205183819.802646","-296639252.975668","-441086758.463063","-386520208.446804","-429811443.546989","-438572567.096774","-406093969.14446","-390491086.075288","-401325302.207412","-559865505.919388","-700220789.998122","-876640691.636139","-803087913.502283","-969994368.480013","-1370607130.06459","-1257230728.04754","-935115097.208229","-873648265.89577","-1299954498.00804","-665715899.11748","-260139541.680572","-1066983740.79275","-708754560.392251","-723276277.601613","-910654856.655663","",
"Bangladesh","BGD","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","29472269.6624245","-44208310.7436407","-3117229.04282175","-88983517.2980922","-220475074.574042","-218774782.974927","-152462264.776135","-238611865.520149","-245129802.761197","-298123196.489147","-377188130.847963","-388240255.408872","-506696083.333333","-429877226.577561","-831762076.324379","-1012377602.52366","-1304107178.45118","-515438377.504848","-1317974808.20106","-1508080952.69382","-2247061873.38501","-1819522643.81885","-1937075848.30339","-1604040404.0404","-1895720000","-1660461538.46154","-1448600000","-1629838709.67742","-1813076878.74371","-2085202591.33366","-2259240016.79713","-1722661064.42577","-1509549071.61804","-1687195767.19577","-1642094763.09227","-2458582089.55224","-3094229828.85086","-2549601873.5363","-2182026431.71806","-2497212978.36938","-2472788709.99801","-2874981467.75389","-2269650008.70625","-2884974093.26425","-2972345846.78104","-3896617886.17886","-3881819535.43776","-4738271068.63597","-6692012826.11864","-6366463960.55952","-6633869734.45903","-9746510605.48387","-10385405740.1393","-10830292256.1686","-11297649912.1853","-14460497206.6392","-10306581262.434","-13065015166.8352","-23683913168.4176","",
"Bulgaria","BGR","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","995769230.769231","221714285.714286","206266666.666668","34555555.5555545","331666666.666667","-69842105.2631579","-695823529.411766","-516230769.230769","-74529411.7647059","-382111111.111111","-744545454.545455","467741935.483871","-603092783.505155","-826086956.521739","-60608856.0885614","1787202380.95238","1373805508.71276","1435816635.94744","1027720972.50625","-623496762.25717","-703103659.398107","-1321691765.45979","-1308136735.67646","-2152536503.72251","-2916767189.3848","-4377358490.56604","-5876098249.21439","-8363331000.69979","-10750224349.3868","-4294519087.22542","-1442128062.81305","215997156.061134","-1720893561.10381","-247828447.339853","-556980056.980052","484130582.634328","2663800904.97738","2555805243.44569","1712492456.24623","",
